X,Y,Z,id,nugget
246124.08,6709560.691,13.395,134041654,2e-05
246456.18,6709159.129,9.996,134041654,2e-05
246130.214,6709280.769,26.74,134041654,2e-05
246402.338,6709169.918,8.863,134041654,2e-05
246351.561,6709275.581,6.015,134041654,2e-05
246183.146,6709236.262,20.862,134041654,2e-05
246323.738,6709214.897,6.154,134041654,2e-05
246217.519,6709177.564,14.809,134041654,2e-05
246244.928,6709270.165,8.251,134041654,2e-05
246171.611,6709158.412,18.492,134041654,2e-05
246381.973,6709302.525,9.548,134041654,2e-05
246177.529,6709157.257,17.801000000000002,134041654,2e-05
246252.1,6709120.785,11.801,134041654,2e-05
246197.288,6709528.258,14.229,134041654,2e-05
246408.318,6709110.304,6.529,134041654,2e-05
246147.815,6709230.243,21.065,134041654,2e-05
246343.548,6709133.62,9.192,134041654,2e-05
246165.99,6709299.81,25.003,134041654,2e-05
246374.911,6709195.269,5.143999999999999,134041654,2e-05
246215.556,6709336.924,8.549999999999999,134041654,2e-05
246408.925,6709122.074,7.145,134041654,2e-05
246442.341,6709197.317,12.409,134041654,2e-05
246252.433,6709289.712,8.002,134041654,2e-05
246298.219,6709360.223,8.09,134041654,2e-05
246492.332,6709266.174,7.798,134041654,2e-05
246345.368,6709380.204,12.211,134041654,2e-05
246544.333,6709209.713,5.053999999999999,134041654,2e-05
246404.624,6709400.263,12.314,134041654,2e-05
246263.846,6709394.88,10.72,134041654,2e-05
246194.755,6709398.984,10.107,134041654,2e-05
246262.814,6709535.824,19.292,134041654,2e-05
246350.309,6709081.73,9.838,134041654,2e-05
246173.69,6709456.052,19.025,134041654,2e-05
246131.183,6709485.641,19.798,134041654,2e-05
246287.244,6709502.68,16.927000000000003,134041654,2e-05
246316.805,6709446.977,15.278,134041654,2e-05
246257.214,6709569.964,28.636000000000003,134041654,2e-05
246064.574,6709561.532,13.484,134041654,2e-05
246134.606,6709467.932,23.661,134041654,2e-05
246229.902,6709478.357,15.442,134041654,2e-05
246163.964,6709415.947,21.693,134041654,2e-05
246256.83,6709417.055,10.434,134041654,2e-05
246326.824,6709416.972,15.351,134041654,2e-05
246200.698,6709334.285,13.266,134041654,2e-05
246306.17,6709116.432,12.835,134041654,2e-05
246083.0,6709441.0,34.121,65549779,2e-05
246083.0,6709419.0,44.184,65549779,2e-05
246105.0,6709419.0,36.91,65549779,2e-05
246083.0,6709397.0,47.865,65549779,2e-05
246105.0,6709397.0,43.217,65549779,2e-05
246127.0,6709397.0,37.941,65549779,2e-05
246083.0,6709375.0,45.925,65549779,2e-05
246105.0,6709375.0,43.328,65549779,2e-05
246127.0,6709375.0,39.262,65549779,2e-05
246083.0,6709353.0,43.443,65549779,2e-05
246124.08,6709560.691,9.515,65549779,2e-05
246456.18,6709159.129,8.586,65549779,2e-05
246130.214,6709280.769,24.22,65549779,2e-05
246402.338,6709169.918,2.373,65549779,2e-05
246351.561,6709275.581,4.795,65549779,2e-05
246183.146,6709236.262,18.142,65549779,2e-05
246323.738,6709214.897,2.584,65549779,2e-05
246217.519,6709177.564,13.889,65549779,2e-05
246244.928,6709270.165,5.971,65549779,2e-05
246171.611,6709158.412,17.952,65549779,2e-05
246381.973,6709302.525,4.788,65549779,2e-05
246177.529,6709157.257,7.861,65549779,2e-05
246252.1,6709120.785,5.241,65549779,2e-05
246197.288,6709528.258,12.589,65549779,2e-05
246408.318,6709110.304,4.149,65549779,2e-05
246147.815,6709230.243,15.725,65549779,2e-05
246343.548,6709133.62,0.872,65549779,2e-05
246165.99,6709299.81,23.553,65549779,2e-05
246374.911,6709195.269,2.244,65549779,2e-05
246215.556,6709336.924,6.74,65549779,2e-05
246408.925,6709122.074,0.505,65549779,2e-05
246442.341,6709197.317,8.429,65549779,2e-05
246252.433,6709289.712,7.902,65549779,2e-05
246298.219,6709360.223,6.78,65549779,2e-05
246492.332,6709266.174,4.418,65549779,2e-05
246345.368,6709380.204,12.111,65549779,2e-05
246544.333,6709209.713,-0.906,65549779,2e-05
246404.624,6709400.263,12.214,65549779,2e-05
246263.846,6709394.88,8.69,65549779,2e-05
246194.755,6709398.984,9.057,65549779,2e-05
246262.814,6709535.824,17.312,65549779,2e-05
246350.309,6709081.73,9.738,65549779,2e-05
246173.69,6709456.052,18.735,65549779,2e-05
246131.183,6709485.641,19.058,65549779,2e-05
246287.244,6709502.68,16.257,65549779,2e-05
246316.805,6709446.977,15.158,65549779,2e-05
246257.214,6709569.964,18.606,65549779,2e-05
246064.574,6709561.532,10.844,65549779,2e-05
246134.606,6709467.932,21.521,65549779,2e-05
246229.902,6709478.357,15.322,65549779,2e-05
246163.964,6709415.947,19.293,65549779,2e-05
246256.83,6709417.055,8.014,65549779,2e-05
246326.824,6709416.972,12.531,65549779,2e-05
246200.698,6709334.285,12.546,65549779,2e-05
246306.17,6709116.432,3.375,65549779,2e-05
